I,Age,Gender,Item_Purchased,Category,purchase_amt,Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases,Age Group
728,53,Male,Shoes,Footwear,47,Maine,S,Violet,Winter,3.4,No,Standard,No,No,20,Debit Card,Fortnightly,Middle-Age Adult
729,70,Male,Socks,Clothing,32,Massachusetts,S,Green,Winter,4.1,No,Next Day Air,No,No,42,Bank Transfer,Every 3 Months,Senior Citizen
730,60,Male,Backpack,Accessories,97,Arkansas,S,Gold,Fall,4.5,No,Store Pickup,No,No,20,Bank Transfer,Weekly,Senior Citizen
731,31,Male,Shirt,Clothing,68,Idaho,S,Red,Winter,4.7,No,Store Pickup,No,No,23,Cash,Fortnightly,Adult
732,41,Male,Sweater,Clothing,23,Pennsylvania,M,Beige,Winter,4.8,No,Next Day Air,No,No,26,Cash,Quarterly,Middle-Age Adult
733,62,Male,Handbag,Accessories,33,Maine,M,Green,Winter,4.4,No,Standard,No,No,48,Venmo,Quarterly,Senior Citizen
734,59,Male,Jewelry,Accessories,38,Alabama,S,Black,Winter,4,No,Store Pickup,No,No,16,Cash,Bi-Weekly,Middle-Age Adult
735,46,Male,Socks,Clothing,68,Idaho,S,Teal,Winter,4.1,No,Store Pickup,No,No,28,Cash,Bi-Weekly,Middle-Age Adult
736,62,Male,Socks,Clothing,23,Arkansas,L,Silver,Fall,3.7,No,Express,No,No,39,PayPal,Weekly,Senior Citizen
737,42,Male,Shirt,Clothing,29,Delaware,M,Turquoise,Summer,3,No,Express,No,No,43,Debit Card,Fortnightly,Middle-Age Adult
738,37,Male,Scarf,Accessories,35,Maine,M,Orange,Winter,3.6,No,Express,No,No,45,Bank Transfer,Every 3 Months,Adult
739,50,Male,Shoes,Footwear,73,Nebraska,S,Gold,Fall,4.8,No,Standard,No,No,50,Credit Card,Every 3 Months,Middle-Age Adult
740,29,Male,Shoes,Footwear,84,Ohio,XL,Purple,Fall,3.7,No,2-Day Shipping,No,No,10,Venmo,Bi-Weekly,Adult
741,25,Male,Scarf,Accessories,23,Montana,M,Pink,Spring,4.6,No,Next Day Air,No,No,40,PayPal,Quarterly,Adult
742,66,Male,Sunglasses,Accessories,67,New Mexico,S,Green,Summer,2.8,No,Standard,No,No,38,Credit Card,Monthly,Senior Citizen
743,21,Male,Socks,Clothing,51,North Carolina,L,Charcoal,Spring,4,No,Standard,No,No,2,Credit Card,Monthly,Adult
744,46,Male,Blouse,Clothing,36,South Carolina,M,Maroon,Winter,4.2,No,Next Day Air,No,No,13,Cash,Annually,Middle-Age Adult
745,57,Male,Jeans,Clothing,55,Illinois,L,Olive,Summer,3.6,No,Express,No,No,33,Venmo,Annually,Middle-Age Adult
746,61,Male,Shorts,Clothing,30,Alabama,M,Peach,Spring,2.9,No,Store Pickup,No,No,27,PayPal,Monthly,Senior Citizen
747,53,Male,T-shirt,Clothing,70,Oklahoma,S,Yellow,Summer,4.1,No,Express,No,No,43,Bank Transfer,Weekly,Middle-Age Adult
748,37,Male,Blouse,Clothing,63,Minnesota,S,Lavender,Winter,3.1,No,Next Day Air,No,No,46,Cash,Weekly,Adult
749,39,Male,Belt,Accessories,87,Illinois,S,Green,Summer,4.3,No,Express,No,No,7,Venmo,Bi-Weekly,Adult
750,53,Male,Blouse,Clothing,70,Arkansas,L,Orange,Spring,4.4,No,Next Day Air,No,No,35,Credit Card,Fortnightly,Middle-Age Adult
751,35,Male,T-shirt,Clothing,51,Minnesota,M,Olive,Spring,3.1,No,Next Day Air,No,No,31,Debit Card,Bi-Weekly,Adult
752,69,Male,Jewelry,Accessories,25,South Carolina,XL,Gray,Spring,2.9,No,Free Shipping,No,No,42,Venmo,Quarterly,Senior Citizen
753,66,Male,Jacket,Outerwear,32,New York,S,Lavender,Winter,3.2,No,Next Day Air,No,No,14,PayPal,Bi-Weekly,Senior Citizen
754,19,Male,Shoes,Footwear,52,Alabama,M,Red,Spring,4,No,2-Day Shipping,No,No,35,Venmo,Monthly,Teenager
755,47,Male,Gloves,Accessories,33,New York,M,Charcoal,Summer,2.7,No,Standard,No,No,49,PayPal,Weekly,Middle-Age Adult
756,49,Male,Jeans,Clothing,68,Missouri,L,Orange,Spring,3,No,Free Shipping,No,No,17,PayPal,Fortnightly,Middle-Age Adult
757,31,Male,Jewelry,Accessories,20,Georgia,M,Red,Fall,4.4,No,Express,No,No,26,PayPal,Quarterly,Adult
758,39,Male,Pants,Clothing,32,Oklahoma,M,Maroon,Winter,2.8,No,Free Shipping,No,No,30,Cash,Every 3 Months,Adult
759,58,Male,Jewelry,Accessories,82,Connecticut,M,Silver,Summer,3.1,No,Store Pickup,No,No,32,Cash,Annually,Middle-Age Adult
760,45,Male,Sneakers,Footwear,64,Michigan,XL,Pink,Winter,3.9,No,Express,No,No,35,Bank Transfer,Quarterly,Middle-Age Adult
761,68,Male,Boots,Footwear,24,Rhode Island,L,Blue,Fall,2.7,No,Standard,No,No,15,Venmo,Annually,Senior Citizen
762,35,Male,Hat,Accessories,96,Mississippi,M,Teal,Summer,3.4,No,Store Pickup,No,No,10,Debit Card,Annually,Adult
763,65,Male,T-shirt,Clothing,94,Massachusetts,L,Black,Spring,3.8,No,Free Shipping,No,No,14,Credit Card,Monthly,Senior Citizen
764,45,Male,Backpack,Accessories,48,New Hampshire,M,Gray,Winter,3.7,No,2-Day Shipping,No,No,30,Bank Transfer,Annually,Middle-Age Adult
765,19,Male,Sunglasses,Accessories,60,Wyoming,S,Purple,Spring,4.5,No,2-Day Shipping,No,No,16,Credit Card,Fortnightly,Teenager
766,65,Male,Sweater,Clothing,56,New Jersey,XL,Gold,Spring,2.9,No,Express,No,No,14,PayPal,Annually,Senior Citizen
767,28,Male,Handbag,Accessories,33,Texas,M,Silver,Fall,3.4,No,2-Day Shipping,No,No,28,Bank Transfer,Weekly,Adult
768,55,Male,Backpack,Accessories,46,Minnesota,L,Blue,Spring,4.4,No,2-Day Shipping,No,No,29,PayPal,Monthly,Middle-Age Adult
769,66,Male,Socks,Clothing,37,South Dakota,L,Yellow,Spring,4.2,No,Standard,No,No,5,PayPal,Every 3 Months,Senior Citizen
770,29,Male,Shirt,Clothing,98,Washington,M,Brown,Winter,3.3,No,Store Pickup,No,No,17,Bank Transfer,Quarterly,Adult
771,56,Male,Shorts,Clothing,50,California,XL,Beige,Spring,3.7,No,Express,No,No,50,PayPal,Weekly,Middle-Age Adult
772,21,Male,Belt,Accessories,63,Wisconsin,M,Blue,Fall,3.2,No,Next Day Air,No,No,23,Bank Transfer,Quarterly,Adult
773,32,Male,Sweater,Clothing,70,Michigan,S,Magenta,Summer,2.6,No,Store Pickup,No,No,22,Debit Card,Annually,Adult
774,54,Male,Coat,Outerwear,63,South Carolina,L,Silver,Fall,2.8,No,Standard,No,No,15,Cash,Quarterly,Middle-Age Adult
775,61,Male,Shorts,Clothing,86,Indiana,M,Cyan,Fall,2.9,No,Standard,No,No,32,Cash,Monthly,Senior Citizen
776,31,Male,Shoes,Footwear,99,Arkansas,M,Green,Summer,4,No,2-Day Shipping,No,No,5,Bank Transfer,Monthly,Adult
777,27,Male,Sneakers,Footwear,40,Oregon,M,Blue,Spring,2.9,No,Free Shipping,No,No,6,Bank Transfer,Bi-Weekly,Adult
778,64,Male,Sneakers,Footwear,92,Illinois,M,Olive,Fall,4.7,No,Store Pickup,No,No,44,Debit Card,Fortnightly,Senior Citizen
779,60,Male,Pants,Clothing,21,Maryland,XL,Beige,Fall,3.1,No,2-Day Shipping,No,No,23,Cash,Fortnightly,Senior Citizen
780,70,Male,Jewelry,Accessories,81,Vermont,XL,Black,Summer,3.9,No,Store Pickup,No,No,44,Venmo,Monthly,Senior Citizen
781,36,Male,T-shirt,Clothing,82,Texas,M,Indigo,Fall,3.4,No,Free Shipping,No,No,3,Debit Card,Quarterly,Adult
782,56,Male,Jewelry,Accessories,88,Nebraska,XL,Red,Spring,3.1,No,Express,No,No,14,Cash,Monthly,Middle-Age Adult
783,69,Male,Jacket,Outerwear,100,South Carolina,S,Yellow,Fall,4.8,No,Store Pickup,No,No,37,PayPal,Quarterly,Senior Citizen
784,39,Male,Backpack,Accessories,66,Massachusetts,M,Beige,Winter,3.9,No,Next Day Air,No,No,22,Bank Transfer,Weekly,Adult
785,38,Male,Belt,Accessories,25,Texas,S,Green,Winter,3.5,No,Next Day Air,No,No,2,PayPal,Every 3 Months,Adult
786,36,Male,Scarf,Accessories,53,Florida,M,White,Summer,3.1,No,Free Shipping,No,No,44,Debit Card,Fortnightly,Adult
787,46,Male,Sweater,Clothing,28,South Carolina,S,Turquoise,Fall,4.7,No,Express,No,No,49,Debit Card,Monthly,Middle-Age Adult
788,59,Male,Gloves,Accessories,23,Florida,S,Indigo,Fall,4.6,No,Free Shipping,No,No,22,Debit Card,Bi-Weekly,Middle-Age Adult
789,64,Male,Scarf,Accessories,34,Nebraska,L,Orange,Fall,3.3,No,Free Shipping,No,No,26,Bank Transfer,Annually,Senior Citizen
790,49,Male,Dress,Clothing,42,Hawaii,M,Blue,Spring,3.2,No,Next Day Air,No,No,40,Debit Card,Weekly,Middle-Age Adult
791,32,Male,Jeans,Clothing,24,Montana,L,Violet,Summer,3.1,No,Next Day Air,No,No,16,PayPal,Quarterly,Adult
792,29,Male,Sunglasses,Accessories,47,South Dakota,S,Gray,Fall,3.5,No,Free Shipping,No,No,17,Debit Card,Bi-Weekly,Adult
793,24,Male,Coat,Outerwear,78,Alabama,S,Cyan,Spring,4.3,No,Standard,No,No,48,Bank Transfer,Bi-Weekly,Adult
794,41,Male,Jeans,Clothing,89,Arkansas,M,Yellow,Summer,2.9,No,Free Shipping,No,No,28,Venmo,Every 3 Months,Middle-Age Adult
795,41,Male,Scarf,Accessories,59,Mississippi,L,Orange,Fall,2.7,No,Store Pickup,No,No,26,Credit Card,Fortnightly,Middle-Age Adult
796,32,Male,Blouse,Clothing,94,Vermont,S,Brown,Summer,4,No,Standard,No,No,43,Bank Transfer,Quarterly,Adult
797,69,Male,Jeans,Clothing,49,New York,M,Teal,Fall,4.6,No,Free Shipping,No,No,38,Debit Card,Weekly,Senior Citizen
798,65,Male,Dress,Clothing,89,North Dakota,L,Beige,Summer,4.7,No,2-Day Shipping,No,No,36,Cash,Every 3 Months,Senior Citizen
799,54,Male,Hat,Accessories,91,Wisconsin,M,Blue,Summer,4.7,No,Standard,No,No,1,Credit Card,Weekly,Middle-Age Adult
800,39,Male,Sandals,Footwear,89,California,L,Orange,Spring,4,No,Standard,No,No,49,Debit Card,Annually,Adult
801,37,Male,Jacket,Outerwear,57,Maryland,L,Gold,Spring,3.6,No,Free Shipping,No,No,41,Credit Card,Every 3 Months,Adult
802,51,Male,Socks,Clothing,71,Massachusetts,S,Teal,Winter,3.4,No,Free Shipping,No,No,21,Debit Card,Monthly,Middle-Age Adult
803,26,Male,Jeans,Clothing,97,Washington,XL,Beige,Fall,3,No,Next Day Air,No,No,24,Bank Transfer,Quarterly,Adult
804,42,Male,Sandals,Footwear,45,Minnesota,M,Silver,Fall,2.6,No,Next Day Air,No,No,27,Bank Transfer,Weekly,Middle-Age Adult
805,21,Male,Dress,Clothing,91,Washington,M,Maroon,Spring,4.2,No,Store Pickup,No,No,4,Debit Card,Annually,Adult
806,53,Male,Socks,Clothing,25,South Carolina,M,Indigo,Spring,3.4,No,Standard,No,No,19,Venmo,Annually,Middle-Age Adult
807,36,Male,Hoodie,Clothing,63,New Mexico,M,Gray,Fall,4,No,Store Pickup,No,No,1,Bank Transfer,Fortnightly,Adult
808,21,Male,Dress,Clothing,52,North Carolina,L,Blue,Summer,4.7,No,Free Shipping,No,No,27,Debit Card,Annually,Adult
809,33,Male,Sneakers,Footwear,43,Iowa,S,Cyan,Winter,3.9,No,Next Day Air,No,No,5,Credit Card,Weekly,Adult
810,49,Male,T-shirt,Clothing,28,Louisiana,M,White,Summer,3.3,No,2-Day Shipping,No,No,20,Venmo,Quarterly,Middle-Age Adult
811,31,Male,T-shirt,Clothing,78,Oklahoma,L,Green,Summer,2.9,No,Express,No,No,50,PayPal,Annually,Adult
812,68,Male,Sweater,Clothing,31,Michigan,M,Silver,Spring,4.4,No,Free Shipping,No,No,36,Cash,Fortnightly,Senior Citizen
813,49,Male,Shirt,Clothing,23,Oregon,M,Blue,Winter,3.6,No,Next Day Air,No,No,12,Bank Transfer,Bi-Weekly,Middle-Age Adult
814,23,Male,Hat,Accessories,25,Idaho,M,Brown,Spring,4.5,No,Store Pickup,No,No,23,Cash,Monthly,Adult
815,30,Male,Pants,Clothing,86,Indiana,S,Red,Summer,3.7,No,Store Pickup,No,No,21,Venmo,Weekly,Adult
816,53,Male,Shoes,Footwear,88,New Mexico,M,Gold,Spring,2.8,No,Free Shipping,No,No,47,Venmo,Weekly,Middle-Age Adult
817,65,Male,Gloves,Accessories,35,South Carolina,M,Silver,Spring,4.5,No,Free Shipping,No,No,38,Venmo,Bi-Weekly,Senior Citizen
818,60,Male,Jewelry,Accessories,34,Vermont,M,Gray,Fall,4.4,No,Standard,No,No,40,Credit Card,Every 3 Months,Senior Citizen
819,46,Male,Pants,Clothing,75,Delaware,M,Black,Winter,3.3,No,Standard,No,No,35,PayPal,Quarterly,Middle-Age Adult
820,54,Male,Hoodie,Clothing,46,North Dakota,XL,Beige,Winter,4.2,No,Express,No,No,4,Credit Card,Quarterly,Middle-Age Adult
821,59,Male,Jewelry,Accessories,31,California,L,Peach,Fall,2.7,No,Free Shipping,No,No,28,Venmo,Every 3 Months,Middle-Age Adult
822,52,Male,Socks,Clothing,93,Montana,L,Cyan,Spring,3.9,No,Store Pickup,No,No,36,Debit Card,Every 3 Months,Middle-Age Adult
823,41,Male,Sunglasses,Accessories,85,Missouri,XL,Pink,Spring,2.6,No,Free Shipping,No,No,15,Bank Transfer,Annually,Middle-Age Adult
824,43,Male,Belt,Accessories,68,Tennessee,M,Lavender,Fall,4.5,No,2-Day Shipping,No,No,7,Cash,Fortnightly,Middle-Age Adult
825,63,Male,Dress,Clothing,40,Virginia,M,Brown,Spring,2.7,No,Store Pickup,No,No,29,PayPal,Every 3 Months,Senior Citizen
826,37,Male,Shirt,Clothing,51,Vermont,M,Magenta,Winter,2.9,No,Standard,No,No,12,Debit Card,Annually,Adult
827,44,Male,Scarf,Accessories,85,Rhode Island,M,Violet,Winter,3.4,No,Store Pickup,No,No,16,Bank Transfer,Bi-Weekly,Middle-Age Adult
828,67,Male,Jacket,Outerwear,23,Kansas,M,Teal,Summer,2.9,No,Express,No,No,50,Debit Card,Bi-Weekly,Senior Citizen
829,27,Male,Dress,Clothing,28,Colorado,L,Brown,Summer,3.8,No,Free Shipping,No,No,11,Debit Card,Annually,Adult
830,60,Male,Socks,Clothing,44,Georgia,M,Olive,Fall,4.2,No,2-Day Shipping,No,No,28,Debit Card,Quarterly,Senior Citizen
831,58,Male,Jewelry,Accessories,57,Nebraska,M,Indigo,Spring,3.5,No,Store Pickup,No,No,36,Venmo,Bi-Weekly,Middle-Age Adult
832,53,Male,Scarf,Accessories,98,Missouri,S,Red,Fall,3.1,No,Next Day Air,No,No,38,PayPal,Quarterly,Middle-Age Adult
833,43,Male,Backpack,Accessories,68,Alaska,M,Olive,Winter,3.5,No,2-Day Shipping,No,No,32,Bank Transfer,Monthly,Middle-Age Adult
834,32,Male,Jacket,Outerwear,36,Virginia,L,Teal,Fall,4,No,Express,No,No,42,Debit Card,Weekly,Adult
835,54,Male,Coat,Outerwear,71,Nebraska,L,Cyan,Spring,3.7,No,Express,No,No,22,Debit Card,Bi-Weekly,Middle-Age Adult
836,47,Male,Skirt,Clothing,60,Rhode Island,M,Teal,Fall,4.2,No,Next Day Air,No,No,22,Venmo,Quarterly,Middle-Age Adult
837,57,Male,Coat,Outerwear,87,New Hampshire,M,Beige,Fall,4.8,No,Store Pickup,No,No,31,PayPal,Quarterly,Middle-Age Adult
838,63,Male,Shoes,Footwear,38,Alabama,XL,Magenta,Winter,4.1,No,Express,No,No,28,Credit Card,Monthly,Senior Citizen
839,70,Male,Boots,Footwear,45,North Carolina,M,Indigo,Spring,4.5,No,2-Day Shipping,No,No,40,Debit Card,Weekly,Senior Citizen
840,62,Male,Coat,Outerwear,47,New Mexico,L,Cyan,Fall,2.7,No,2-Day Shipping,No,No,21,PayPal,Weekly,Senior Citizen
841,40,Male,Skirt,Clothing,57,Minnesota,L,Orange,Fall,2.8,No,Store Pickup,No,No,12,PayPal,Every 3 Months,Middle-Age Adult
842,25,Male,Backpack,Accessories,68,Arizona,L,Violet,Summer,3.7,No,Free Shipping,No,No,33,Credit Card,Annually,Adult
843,19,Male,Shorts,Clothing,52,Montana,M,Red,Fall,3.6,No,Express,No,No,9,Bank Transfer,Fortnightly,Teenager
844,25,Male,Skirt,Clothing,87,Vermont,M,Magenta,Fall,4.7,No,2-Day Shipping,No,No,15,Debit Card,Weekly,Adult
845,21,Male,Hat,Accessories,34,Maine,M,Olive,Summer,3.8,No,Standard,No,No,13,Bank Transfer,Annually,Adult
846,55,Male,Sandals,Footwear,41,Virginia,XL,Maroon,Winter,2.9,No,Standard,No,No,35,Credit Card,Fortnightly,Middle-Age Adult
847,34,Male,Sunglasses,Accessories,94,California,S,Yellow,Winter,4.6,No,Next Day Air,No,No,1,Debit Card,Every 3 Months,Adult
848,47,Male,Sunglasses,Accessories,93,New York,M,Red,Summer,2.8,No,Standard,No,No,25,Bank Transfer,Fortnightly,Middle-Age Adult
849,27,Male,Socks,Clothing,51,Indiana,XL,Purple,Winter,4.6,No,2-Day Shipping,No,No,20,Credit Card,Every 3 Months,Adult
850,67,Male,Sweater,Clothing,42,Mississippi,M,Teal,Fall,2.8,No,Next Day Air,No,No,36,Venmo,Quarterly,Senior Citizen
851,40,Male,Boots,Footwear,95,New York,M,Red,Winter,3,No,Free Shipping,No,No,33,Cash,Weekly,Middle-Age Adult
852,53,Male,Handbag,Accessories,90,New Mexico,M,Brown,Fall,3.7,No,Standard,No,No,36,Cash,Fortnightly,Middle-Age Adult
853,24,Male,Dress,Clothing,98,Kentucky,M,Peach,Winter,4.1,No,2-Day Shipping,No,No,32,PayPal,Annually,Adult
854,47,Male,Hat,Accessories,39,North Dakota,M,Maroon,Winter,4.3,No,Next Day Air,No,No,21,Venmo,Quarterly,Middle-Age Adult
855,53,Male,Sandals,Footwear,66,Arkansas,L,Red,Fall,3.8,No,Next Day Air,No,No,48,Venmo,Bi-Weekly,Middle-Age Adult
856,47,Male,Shoes,Footwear,23,Maryland,L,Orange,Winter,3.7,No,Free Shipping,No,No,25,PayPal,Quarterly,Middle-Age Adult
857,38,Male,Skirt,Clothing,73,Connecticut,S,White,Winter,4.8,No,Standard,No,No,32,PayPal,Annually,Adult
858,48,Male,Sunglasses,Accessories,23,Utah,XL,White,Summer,4.6,No,Standard,No,No,45,PayPal,Every 3 Months,Middle-Age Adult
859,47,Male,Skirt,Clothing,43,Missouri,S,Charcoal,Fall,4.8,No,Standard,No,No,4,Cash,Fortnightly,Middle-Age Adult
860,19,Male,T-shirt,Clothing,45,Nebraska,XL,Turquoise,Winter,4.6,No,2-Day Shipping,No,No,19,PayPal,Bi-Weekly,Teenager
861,38,Male,Sandals,Footwear,21,Hawaii,L,Orange,Winter,4,No,Standard,No,No,1,Bank Transfer,Weekly,Adult
862,57,Male,Shirt,Clothing,40,Illinois,M,Orange,Spring,2.6,No,2-Day Shipping,No,No,12,Cash,Weekly,Middle-Age Adult
863,70,Male,Jeans,Clothing,58,Vermont,L,Brown,Fall,2.6,No,2-Day Shipping,No,No,18,Venmo,Monthly,Senior Citizen
864,38,Male,Shorts,Clothing,48,New Jersey,L,Magenta,Summer,4.5,No,Next Day Air,No,No,43,Bank Transfer,Bi-Weekly,Adult
865,35,Male,Shirt,Clothing,94,Kentucky,M,Violet,Fall,4.2,No,Free Shipping,No,No,31,PayPal,Annually,Adult
866,46,Male,Scarf,Accessories,74,Wyoming,M,Violet,Spring,3.4,No,Store Pickup,No,No,33,Cash,Every 3 Months,Middle-Age Adult
867,32,Male,Handbag,Accessories,51,Hawaii,L,Yellow,Fall,3.7,No,Store Pickup,No,No,46,PayPal,Monthly,Adult
868,38,Male,Skirt,Clothing,83,Missouri,M,Maroon,Winter,3.6,No,Next Day Air,No,No,41,Debit Card,Bi-Weekly,Adult
869,41,Male,Handbag,Accessories,68,Mississippi,L,Turquoise,Winter,4,No,Next Day Air,No,No,41,Venmo,Fortnightly,Middle-Age Adult
870,19,Male,Gloves,Accessories,84,Massachusetts,XL,Olive,Spring,4.6,No,Standard,No,No,9,Bank Transfer,Fortnightly,Teenager
871,18,Male,Shirt,Clothing,58,Louisiana,M,Peach,Fall,3,No,Free Shipping,No,No,34,Cash,Annually,Teenager
872,45,Male,Blouse,Clothing,92,West Virginia,L,Charcoal,Winter,3.3,No,Express,No,No,21,PayPal,Annually,Middle-Age Adult
873,23,Male,Dress,Clothing,69,Washington,S,Peach,Summer,3.8,No,Express,No,No,5,Debit Card,Fortnightly,Adult
874,60,Male,Shorts,Clothing,48,Oregon,S,Black,Summer,2.7,No,Free Shipping,No,No,32,PayPal,Weekly,Senior Citizen
875,52,Male,Shoes,Footwear,60,New York,L,Gray,Spring,4.5,No,Express,No,No,44,Bank Transfer,Monthly,Middle-Age Adult
876,42,Male,Sandals,Footwear,20,Iowa,S,Olive,Winter,4.8,No,Next Day Air,No,No,46,PayPal,Bi-Weekly,Middle-Age Adult
877,29,Male,Pants,Clothing,55,Idaho,M,Turquoise,Summer,4.2,No,Express,No,No,42,Credit Card,Every 3 Months,Adult
878,31,Male,Jacket,Outerwear,88,New Jersey,S,Purple,Spring,3.5,No,Express,No,No,50,Credit Card,Bi-Weekly,Adult
879,30,Male,Skirt,Clothing,48,Ohio,L,Green,Winter,4.9,No,Standard,No,No,33,Venmo,Fortnightly,Adult
880,23,Male,Handbag,Accessories,74,Connecticut,M,Beige,Spring,4.1,No,Next Day Air,No,No,32,Cash,Quarterly,Adult
881,31,Male,Coat,Outerwear,42,Florida,M,Brown,Fall,2.9,No,Next Day Air,No,No,32,Bank Transfer,Bi-Weekly,Adult
882,40,Male,Sweater,Clothing,32,South Carolina,M,Turquoise,Fall,4,No,Next Day Air,No,No,37,Venmo,Every 3 Months,Middle-Age Adult
883,39,Male,Shorts,Clothing,98,Missouri,M,Yellow,Summer,4.6,No,Store Pickup,No,No,9,Cash,Fortnightly,Adult
884,28,Male,Skirt,Clothing,89,Rhode Island,S,Lavender,Fall,2.8,No,Store Pickup,No,No,6,PayPal,Fortnightly,Adult
885,23,Male,Gloves,Accessories,97,Delaware,S,Cyan,Summer,5,No,2-Day Shipping,No,No,36,Venmo,Quarterly,Adult
886,42,Male,Backpack,Accessories,49,Colorado,S,Olive,Spring,2.9,No,Store Pickup,No,No,1,Cash,Annually,Middle-Age Adult
887,68,Male,Dress,Clothing,50,Nebraska,M,Silver,Spring,3.3,No,Free Shipping,No,No,48,Credit Card,Fortnightly,Senior Citizen
888,24,Male,Belt,Accessories,91,Vermont,S,Red,Winter,3.4,No,2-Day Shipping,No,No,44,Debit Card,Quarterly,Adult
889,24,Male,Gloves,Accessories,93,Montana,XL,Green,Winter,3,No,Express,No,No,9,PayPal,Bi-Weekly,Adult
890,21,Male,Jewelry,Accessories,98,Florida,M,Gold,Summer,4.7,No,Standard,No,No,32,Venmo,Annually,Adult
891,49,Male,Socks,Clothing,82,Delaware,L,Lavender,Fall,2.9,No,Next Day Air,No,No,14,PayPal,Monthly,Middle-Age Adult
892,41,Male,Coat,Outerwear,37,Connecticut,M,Yellow,Summer,4.1,No,Store Pickup,No,No,43,Cash,Quarterly,Middle-Age Adult
893,22,Male,Handbag,Accessories,63,Hawaii,M,Black,Fall,3.2,No,Free Shipping,No,No,32,Bank Transfer,Bi-Weekly,Adult
894,42,Male,Blouse,Clothing,99,New Mexico,M,Maroon,Winter,2.7,No,Store Pickup,No,No,26,Venmo,Bi-Weekly,Middle-Age Adult
895,30,Male,Shorts,Clothing,37,Kansas,M,Maroon,Spring,4.7,No,Store Pickup,No,No,2,Cash,Monthly,Adult
896,38,Male,Shoes,Footwear,34,Nevada,S,Gold,Spring,3.2,No,Free Shipping,No,No,16,PayPal,Every 3 Months,Adult
897,40,Male,Shorts,Clothing,32,North Carolina,M,Violet,Winter,2.5,No,Express,No,No,50,Debit Card,Every 3 Months,Middle-Age Adult
898,55,Male,Sandals,Footwear,23,New Mexico,XL,Teal,Winter,4.3,No,Next Day Air,No,No,6,PayPal,Every 3 Months,Middle-Age Adult
899,37,Male,Blouse,Clothing,78,Idaho,M,Violet,Spring,4.4,No,Free Shipping,No,No,20,PayPal,Annually,Adult
900,41,Male,Coat,Outerwear,54,California,M,Brown,Winter,4.7,No,Next Day Air,No,No,9,Credit Card,Weekly,Middle-Age Adult
901,38,Male,Blouse,Clothing,94,Wisconsin,XL,Brown,Fall,4,No,Express,No,No,47,Credit Card,Bi-Weekly,Adult
902,42,Male,Belt,Accessories,75,Alaska,S,Maroon,Spring,4.6,No,Express,No,No,33,Credit Card,Annually,Middle-Age Adult
903,26,Male,Blouse,Clothing,69,Pennsylvania,S,Maroon,Summer,3.8,No,Next Day Air,No,No,46,Cash,Bi-Weekly,Adult
904,41,Male,Scarf,Accessories,35,Virginia,L,Yellow,Winter,3.2,No,Next Day Air,No,No,9,Credit Card,Monthly,Middle-Age Adult
905,27,Male,Shirt,Clothing,78,California,L,Turquoise,Spring,5,No,Express,No,No,8,PayPal,Monthly,Adult
906,61,Male,Socks,Clothing,29,Kentucky,M,Silver,Summer,3.5,No,Standard,No,No,48,Bank Transfer,Quarterly,Senior Citizen
907,58,Male,Jeans,Clothing,62,New York,M,Brown,Fall,3.7,No,Next Day Air,No,No,2,Cash,Monthly,Middle-Age Adult
908,25,Male,Dress,Clothing,58,Vermont,M,Gray,Spring,4.8,No,Next Day Air,No,No,31,PayPal,Weekly,Adult
909,33,Male,Boots,Footwear,88,Pennsylvania,M,Indigo,Summer,3.7,No,2-Day Shipping,No,No,40,Venmo,Monthly,Adult
910,57,Male,Scarf,Accessories,80,New York,L,Turquoise,Summer,3.5,No,Free Shipping,No,No,35,Venmo,Monthly,Middle-Age Adult
911,39,Male,Scarf,Accessories,47,North Carolina,M,Maroon,Summer,4.9,No,Store Pickup,No,No,40,Debit Card,Monthly,Adult
912,60,Male,Gloves,Accessories,51,Wyoming,L,Charcoal,Summer,4.7,No,Next Day Air,No,No,27,Debit Card,Every 3 Months,Senior Citizen
913,39,Male,Pants,Clothing,25,Ohio,L,Peach,Spring,4.9,No,2-Day Shipping,No,No,10,Venmo,Annually,Adult
914,42,Male,Dress,Clothing,36,Alabama,M,Red,Summer,4.3,No,Next Day Air,No,No,23,Credit Card,Weekly,Middle-Age Adult
915,53,Male,Dress,Clothing,79,Rhode Island,M,Indigo,Winter,3.1,No,Free Shipping,No,No,32,Cash,Quarterly,Middle-Age Adult
916,20,Male,Jeans,Clothing,41,Oregon,S,Lavender,Winter,3.4,No,2-Day Shipping,No,No,6,Debit Card,Monthly,Adult
917,46,Male,Sweater,Clothing,68,North Dakota,XL,Red,Fall,2.7,No,Express,No,No,27,PayPal,Weekly,Middle-Age Adult
918,46,Male,Sandals,Footwear,51,Illinois,L,Green,Spring,2.6,No,Store Pickup,No,No,25,Bank Transfer,Fortnightly,Middle-Age Adult
919,69,Male,Handbag,Accessories,38,New Mexico,M,Gray,Fall,2.9,No,Next Day Air,No,No,11,Credit Card,Annually,Senior Citizen
920,28,Male,Scarf,Accessories,46,Colorado,XL,Violet,Summer,2.7,No,2-Day Shipping,No,No,23,PayPal,Monthly,Adult
